!IPSummaryDump 1.3
!creator "ipsumdump -tL -r tcp2_enp132s0f0np0_2911.pcap"
!host inetlab-04
!runtime 1543576359.238223939 (Fri Nov 30 12:12:39 2018)
!data timestamp payload_len
1543522121.463053 0
1543522121.464217 1448
1543522121.465429 1448
1543522121.465528 0
1543522121.466641 1448
1543522121.467851 1448
1543522121.467953 0
1543522121.469062 1448
1543522121.470275 1448
1543522121.470374 0
1543522121.471485 1448
1543522121.472696 1448
1543522121.472742 0
1543522121.473909 1448
1543522121.475118 1448
1543522121.475218 0
1543522121.476330 1448
1543522121.477541 1448
1543522121.477587 0
1543522121.478752 1448
1543522121.479964 1448
1543522121.480063 0
1543522121.481175 1448
1543522121.482386 1448
1543522121.482482 0
1543522121.483597 1448
1543522121.484808 1448
1543522121.484909 0
1543522121.486019 1448
1543522121.487232 1448
1543522121.487277 0
1543522121.488442 1448
1543522121.489653 1448
1543522121.489752 0
1543522121.490864 1448
1543522121.492075 1448
1543522121.492175 0
1543522121.493286 1448
1543522121.494497 1448
1543522121.494598 0
1543522121.495709 1448
1543522121.496922 1448
1543522121.497022 0
1543522121.498131 1448
1543522121.499342 1448
1543522121.499390 0
1543522121.500555 1448
1543522121.501765 1448
1543522121.501809 0
1543522121.502976 1448
1543522121.504187 1448
1543522121.504288 0
1543522121.505399 1448
1543522121.506609 1448
1543522121.506714 0
1543522121.507821 1448
1543522121.509032 1448
1543522121.509130 0
1543522121.510244 1448
1543522121.511454 1448
1543522121.511503 0
1543522121.512666 1448
1543522121.513877 1448
1543522121.513943 0
1543522121.515088 1448
1543522121.516299 1448
1543522121.516397 0
1543522121.517510 1448
1543522121.518721 1448
1543522121.518821 0
1543522121.519933 1448
1543522121.521145 1448
1543522121.521221 0
1543522121.522355 1448
1543522121.523567 1448
1543522121.523613 0
1543522121.524778 1448
1543522121.525989 1448
1543522121.526032 0
1543522121.527201 1448
1543522121.528411 1448
1543522121.528512 0
1543522121.529624 1448
1543522121.530834 1448
1543522121.530882 0
1543522121.532045 1448
1543522121.533256 1448
1543522121.533354 0
1543522121.534467 1448
1543522121.535678 1448
1543522121.535777 0
1543522121.536890 1448
1543522121.538101 1448
1543522121.538150 0
1543522121.539312 1448
1543522121.540524 1448
1543522121.540567 0
1543522121.541735 1448
1543522121.542945 1448
1543522121.542993 0
1543522121.544157 1448
1543522121.545368 1448
1543522121.545468 0
1543522121.546580 1448
1543522121.547791 1448
1543522121.547891 0
1543522121.549002 1448
1543522121.550213 1448
1543522121.550313 0
1543522121.551424 1448
1543522121.552635 1448
1543522121.552681 0
1543522121.553847 1448
1543522121.555057 1448
1543522121.555103 0
1543522121.556269 1448
1543522121.557480 1448
1543522121.557530 0
1543522121.558692 1448
1543522121.559902 1448
1543522121.560002 0
1543522121.561114 1448
1543522121.562325 1448
1543522121.562422 0
1543522121.563537 1448
