!IPSummaryDump 1.3
!creator "ipsumdump -tL -r tcp1_enp132s0f0np0-1.pcap"
!host inetlab-04
!runtime 1542919806.930580605 (Thu Nov 22 21:50:06 2018)
!data timestamp payload_len
1542724496.736427 4344
1542724496.737314 47784
1542724496.737398 0
1542724496.737438 0
1542724496.747309 5792
1542724496.748517 5792
1542724496.748607 0
1542724496.749741 0
1542724496.749753 11584
1542724496.751012 0
1542724496.752150 30408
1542724496.753526 0
1542724496.758511 47784
1542724496.758689 0
1542724496.768503 5792
1542724496.769713 23168
1542724496.769790 0
1542724496.771090 0
1542724496.774598 23168
1542724496.775948 0
1542724496.779405 24616
1542724496.780715 0
1542724496.784551 34752
1542724496.785928 0
1542724496.791821 18824
1542724496.793119 0
1542724496.795792 5792
1542724496.796966 23168
1542724496.797029 0
1542724496.798338 0
1542724496.801811 17376
1542724496.803133 0
1542724496.805482 36200
1542724496.806812 0
1542724496.813017 23168
1542724496.814364 0
1542724496.817859 2896
1542724496.818464 47784
1542724496.818563 0
1542724496.818613 0
1542724496.828457 8688
1542724496.829746 0
1542724496.830273 47784
1542724496.830409 0
1542724496.840271 5792
1542724496.841476 5792
1542724496.841566 0
1542724496.842687 11584
1542724496.842769 0
1542724496.844007 0
1542724496.845109 11584
1542724496.846405 0
1542724496.847532 47784
1542724496.847701 0
1542724496.857565 5792
1542724496.858736 11584
1542724496.858803 0
1542724496.860052 0
1542724496.861160 24616
1542724496.862478 0
1542724496.866344 28960
1542724496.867726 0
1542724496.872364 47784
1542724496.872546 0
1542724496.882358 5792
1542724496.883566 11584
1542724496.883600 0
1542724496.884930 0
1542724496.886026 47784
1542724496.886193 0
1542724496.895983 5792
1542724496.897193 47784
1542724496.897227 0
1542724496.897354 0
1542724496.907188 5792
1542724496.908395 47784
1542724496.908484 0
1542724496.908520 0
1542724496.918390 47784
1542724496.918548 0
1542724496.928381 10136
1542724496.929678 0
1542724496.930501 1448
1542724496.930802 11584
1542724496.932143 0
1542724496.933265 47784
1542724496.933432 0
1542724496.943257 4344
1542724496.944125 1448
1542724496.944234 0
1542724496.944428 17376
1542724496.945790 0
1542724496.948102 47784
1542724496.948279 0
1542724496.958095 5792
1542724496.959266 5792
1542724496.959376 0
1542724496.960477 5792
1542724496.960557 0
1542724496.961688 23168
1542724496.961766 0
1542724496.963020 0
1542724496.966533 47784
1542724496.966721 0
1542724496.976527 5792
1542724496.977736 11584
1542724496.977818 0
1542724496.979050 0
1542724496.980159 17376
1542724496.981520 0
1542724496.983833 36200
1542724496.985227 0
1542724496.991366 11584
1542724496.992652 0
1542724496.993785 17376
1542724496.995080 0
1542724496.997420 36200
1542724496.998753 0
1542724497.004992 36200
1542724497.005130 0
1542724497.012560 5792
1542724497.013770 5792
1542724497.013849 0
1542724497.014981 5792
1542724497.015060 0
1542724497.016192 47784
1542724497.016270 0
1542724497.016345 0
1542724497.026186 11584
1542724497.027481 0
1542724497.028608 46336
1542724497.029943 0
1542724497.038300 47784
1542724497.038477 0
1542724497.048290 11584
1542724497.049578 0
1542724497.050712 5792
1542724497.051922 5792
1542724497.051994 0
1542724497.053133 13032
1542724497.053207 0
1542724497.054490 0
1542724497.055898 28960
1542724497.057238 0
1542724497.061916 47784
1542724497.062065 0
1542724497.071909 11584
1542724497.073193 0
1542724497.074367 23168
1542724497.075750 0
1542724497.079215 24616
1542724497.080560 0
1542724497.084324 23168
1542724497.085677 0
1542724497.089170 36200
1542724497.090547 0
1542724497.096739 23168
1542724497.098092 0
1542724497.101619 5792
1542724497.102792 24616
1542724497.102909 0
1542724497.104170 0
1542724497.107942 17376
1542724497.109248 0
1542724497.111574 34752
1542724497.112951 0
1542724497.118843 24616
1542724497.120100 0
1542724497.123992 46336
1542724497.125390 0
1542724497.133681 7240
1542724497.134982 0
1542724497.135194 11584
1542724497.136500 0
1542724497.137616 46336
1542724497.139003 0
1542724497.147345 7240
1542724497.148650 0
1542724497.148819 5792
1542724497.150030 11584
1542724497.150097 0
1542724497.151272 0
1542724497.152453 11584
1542724497.153782 0
1542724497.154882 47784
1542724497.155053 0
1542724497.164871 5792
1542724497.166080 5792
1542724497.166169 0
1542724497.167289 11584
1542724497.167304 0
1542724497.168590 0
1542724497.169711 28960
1542724497.171038 0
1542724497.175808 30408
1542724497.177100 0
1542724497.182127 47784
1542724497.182289 0
1542724497.192159 5792
1542724497.193331 11584
1542724497.193394 0
1542724497.194594 0
1542724497.195753 47784
1542724497.195909 0
1542724497.205750 47784
1542724497.205892 0
1542724497.215742 11584
1542724497.217041 0
1542724497.218159 47784
1542724497.218336 0
1542724497.228156 10136
1542724497.229457 0
1542724497.230274 47784
1542724497.230433 0
1542724497.240305 11584
1542724497.241650 0
1542724497.242724 13032
1542724497.244096 0
1542724497.245450 47784
1542724497.245611 0
1542724497.255444 4344
1542724497.256312 4344
1542724497.256423 0
1542724497.257222 20272
1542724497.257337 0
1542724497.258578 0
1542724497.261462 47784
1542724497.261633 0
1542724497.271493 5792
1542724497.272666 5792
1542724497.272778 0
1542724497.273877 5792
1542724497.273957 0
1542724497.275086 23168
1542724497.275168 0
1542724497.276410 0
1542724497.279932 47784
1542724497.280107 0
1542724497.289924 5792
1542724497.291134 5792
1542724497.291222 0
1542724497.292345 11584
1542724497.292428 0
1542724497.293664 0
1542724497.294768 18824
1542724497.296132 0
1542724497.298745 34752
1542724497.300081 0
1542724497.305973 17376
1542724497.307313 0
1542724497.309611 13032
1542724497.309741 0
1542724497.312331 40544
1542724497.313654 0
1542724497.320813 36200
1542724497.322147 0
1542724497.328382 5792
1542724497.329590 5792
1542724497.329674 0
1542724497.330801 47784
1542724497.330888 0
1542724497.330929 0
1542724497.340796 11584
1542724497.342090 0
1542724497.343217 11584
1542724497.344510 0
1542724497.345638 47784
1542724497.345797 0
1542724497.355634 47784
1542724497.355775 0
1542724497.365663 5792
1542724497.366835 11584
1542724497.366899 0
1542724497.368151 0
1542724497.369257 5792
1542724497.370468 5792
1542724497.370548 0
1542724497.371679 11584
1542724497.371758 0
1542724497.372994 0
1542724497.374102 30408
1542724497.375447 0
1542724497.380462 47784
1542724497.380628 0
1542724497.390492 4344
1542724497.391361 13032
1542724497.391427 0
1542724497.392608 0
1542724497.394087 23168
1542724497.395452 0
1542724497.398932 23168
1542724497.400248 0
1542724497.403777 24616
1542724497.405114 0
1542724497.408924 40544
1542724497.410322 0
1542724497.417444 24616
1542724497.418759 0
1542724497.422552 5792
1542724497.423762 23168
1542724497.423843 0
1542724497.425154 0
1542724497.428609 2896
1542724497.429211 17376
1542724497.429275 0
1542724497.430465 0
1542724497.432848 33304
1542724497.434247 0
1542724497.439849 28960
1542724497.441164 0
1542724497.445905 47784
1542724497.446074 0
1542724497.455858 5792
1542724497.457069 11584
1542724497.457146 0
1542724497.458379 0
1542724497.459491 47784
1542724497.459649 0
1542724497.469524 5792
1542724497.470695 5792
1542724497.470807 0
1542724497.471906 5792
1542724497.471980 0
1542724497.473120 13032
1542724497.473190 0
1542724497.474437 0
1542724497.475850 11584
1542724497.477152 0
1542724497.478266 47784
1542724497.478427 0
1542724497.488260 4344
1542724497.489166 1448
1542724497.489269 0
1542724497.489469 5792
1542724497.490680 17376
1542724497.490755 0
1542724497.492036 0
1542724497.494354 28960
1542724497.495733 0
1542724497.500409 30408
1542724497.501739 0
1542724497.506729 47784
1542724497.506897 0
1542724497.516724 11584
1542724497.518033 0
1542724497.519143 11584
1542724497.520426 0
1542724497.521565 47784
1542724497.521745 0
1542724497.531560 47784
1542724497.531702 0
1542724497.541590 4344
1542724497.542458 13032
1542724497.542570 0
1542724497.543717 0
1542724497.545185 46336
1542724497.546567 0
1542724497.554877 13032
1542724497.556176 0
1542724497.557600 46336
1542724497.558978 0
1542724497.567328 11584
1542724497.568676 0
1542724497.569770 5792
1542724497.570921 13032
1542724497.570990 0
1542724497.572293 0
1542724497.573651 28960
1542724497.574999 0
1542724497.579706 17376
1542724497.581052 0
1542724497.583340 7240
1542724497.584594 0
1542724497.584851 5792
1542724497.586061 17376
1542724497.586131 0
1542724497.587418 0
1542724497.589697 23168
1542724497.591078 0
1542724497.594580 30408
1542724497.595909 0
1542724497.600903 5792
1542724497.602111 5792
1542724497.602199 0
1542724497.603322 5792
1542724497.603388 0
1542724497.604532 23168
1542724497.604577 0
1542724497.605903 0
1542724497.609382 13032
1542724497.609498 0
1542724497.612103 40544
1542724497.613431 0
1542724497.620585 5792
1542724497.621792 5792
1542724497.621879 0
1542724497.623006 11584
1542724497.623068 0
1542724497.624325 0
1542724497.625427 18824
1542724497.626792 0
1542724497.629365 34752
1542724497.630680 0
1542724497.636631 18824
1542724497.637976 0
1542724497.640570 11584
1542724497.641865 0
1542724497.642989 11584
1542724497.644289 0
1542724497.645410 36200
1542724497.646793 0
1542724497.652986 34752
1542724497.654306 0
1542724497.660250 5792
1542724497.661458 47784
1542724497.661547 0
1542724497.661597 0
1542724497.671456 11584
1542724497.672752 0
1542724497.673877 11584
1542724497.675171 0
1542724497.676297 11584
1542724497.677593 0
1542724497.678718 47784
1542724497.678864 0
1542724497.688751 47784
1542724497.688902 0
1542724497.698741 5792
1542724497.699916 5792
1542724497.699979 0
1542724497.701125 11584
1542724497.701158 0
1542724497.702438 0
1542724497.703548 5792
1542724497.704759 5792
1542724497.704842 0
1542724497.705970 13032
1542724497.706051 0
1542724497.707291 0
1542724497.708695 28960
1542724497.710018 0
1542724497.714792 23168
1542724497.716089 0
1542724497.719600 30408
1542724497.720946 0
1542724497.725995 4344
1542724497.726864 11584
1542724497.726927 0
1542724497.728231 0
1542724497.729324 26064
1542724497.730660 0
1542724497.734737 23168
1542724497.736030 0
1542724497.739582 23168
1542724497.740859 0
1542724497.744466 47784
1542724497.744645 0
1542724497.754420 23168
1542724497.755761 0
1542724497.759264 5792
1542724497.760475 24616
1542724497.760529 0
1542724497.761848 0
1542724497.765627 5792
1542724497.766834 17376
1542724497.766868 0
1542724497.768152 0
1542724497.770470 30408
1542724497.771862 0
1542724497.776828 34752
1542724497.778170 0
1542724497.784133 47784
1542724497.784307 0
1542724497.794086 5792
1542724497.795295 11584
1542724497.795376 0
1542724497.796608 0
1542724497.797720 36200
1542724497.799103 0
1542724497.805292 17376
1542724497.806629 0
1542724497.808924 5792
1542724497.810134 5792
1542724497.810164 0
1542724497.811345 5792
1542724497.811424 0
1542724497.812556 11584
1542724497.812632 0
1542724497.813875 0
1542724497.814980 13032
1542724497.816289 0
1542724497.817705 47784
1542724497.817866 0
1542724497.827697 4344
1542724497.828604 4344
1542724497.828714 0
1542724497.829512 8688
1542724497.829629 0
1542724497.830849 0
1542724497.831331 17376
1542724497.832688 0
1542724497.835004 28960
1542724497.836387 0
1542724497.841021 30408
1542724497.842350 0
1542724497.847379 47784
1542724497.847551 0
1542724497.857411 5792
1542724497.858582 11584
1542724497.858695 0
1542724497.859893 0
1542724497.861004 11584
1542724497.862289 0
1542724497.863426 47784
1542724497.863585 0
1542724497.873423 47784
1542724497.873568 0
1542724497.883452 5792
1542724497.884625 4344
1542724497.884701 0
1542724497.885531 11584
1542724497.885638 0
1542724497.886835 0
1542724497.887954 40544
1542724497.889280 0
1542724497.896433 8688
1542724497.897688 0
1542724497.898248 11584
1542724497.899559 0
1542724497.900672 47784
1542724497.900835 0
1542724497.910703 4344
1542724497.911572 1448
1542724497.911679 0
1542724497.911874 11584
1542724497.913183 0
1542724497.914298 5792
1542724497.915508 11584
1542724497.915579 0
1542724497.916817 0
1542724497.917931 28960
1542724497.919326 0
1542724497.924025 18824
1542724497.925336 0
1542724497.927923 5792
1542724497.929134 5792
1542724497.929208 0
1542724497.930347 23168
1542724497.930415 0
1542724497.931677 0
1542724497.935190 24616
1542724497.936526 0
1542724497.940342 28960
1542724497.941729 0
1542724497.946398 5792
1542724497.947604 5792
1542724497.947678 0
1542724497.948816 5792
1542724497.948885 0
1542724497.950027 24616
1542724497.950096 0
1542724497.951357 0
1542724497.955177 17376
1542724497.956483 0
1542724497.958812 41992
1542724497.960145 0
1542724497.967591 5792
1542724497.968803 5792
1542724497.968876 0
1542724497.970013 11584
1542724497.970082 0
1542724497.971316 0
1542724497.972434 17376
1542724497.973740 0
1542724497.976067 11584
1542724497.977351 0
1542724497.978490 24616
1542724497.979765 0
